Music & Video:[food, place, good, go, vegan, one, back, service, tapas, time, menu, restaurant, love, cafe, order, try, smoothie, can, chicken, shrimp, salad, way, bar, beet, cheese, something, sauce, lake, server, right, bartender, burger, taste, salsa, everything, meal, staff, juice, flavor, half, music, wrap, bit, thing, sangria, waitress, drink, night, day, table, bread, rice, meat, house, lot, feel, experience, plate, while, home, hour, price, veggie, eating, bacon, location, nothing, atmosphere, hummus, anything, pasta, dinner, health, waiter, side, ok, spot, favorite, check, husband, gaming, water, sampler, soup, taco, pizza, paella, outside, coconut, left]
Outlet Stores:[outlet, mall, store, place, shopping, one, good, food, north, go, can, out, parking, time, premium, lot, shop, back, end, south, selection, court, day, inside, need, outside, love, strip, stop, location, check, coach, way, buy, favorite, walk, right, service, visit, center, stuff, something, look, price, experience, thing, kiosk, deal, walking, bit, everything, plenty, customer, while, middle, nothing, plus, factory, work, sale, anything, michael, summer, car, feel, close, town, name, front, heat, guess, clothing, weather, discount, variety, area, retail, downtown, park, coupon, couple, air, side, space, offer, pair, hit, calvin, home, klein]
Ticket Sales:[show, line, ticket, tix, box, office, time, day, tonight, price, wait, discount, one, place, service, buy, location, tix4tonight, voucher, buffet, purchase, deal, dinner, half, pay, cirque, back, night, mall, fashion, way, right, person, mystere, use, strip, online, sell, staff, waiting, hour, booth, money, card, experience, seat, try, group, need, restaurant, love, town, buying, while, exchange, guy, section, offer, charge, pass, venue, m, soleil, front, stand, morning, coupon, website, information, dining, t4t, lot, cost, couple, tip, lady, top, thing, fee, visit, customer, hotel, family, call, saving, square, trip, mind, food, something]
RV Parks:[room, hotel, place, one, casino, stay, desk, front, time, check, service, bed, back, buffet, strip, night, food, day, security, price, arizona, tv, family, wifi, staff, suite, right, pool, staying, manager, lot, customer, bathroom, need, door, someone, location, outside, everything, carpet, work, smoke, area, toilet, card, star, money, air, floor, town, phone, bit, restaurant, ok, pay, reason, thing, way, play, smoking, shower, review, breakfast, steak, car, lady, nothing, resort, parking, park, feel, hour, bedroom, sleep, motel, order, walk, use, problem, person, close, special, anything, experience, deal, change, morning, couple, try, minute]
Arabian:[food, place, chicken, service, restaurant, owner, rice, one, order, biryani, time, back, kabob, try, beef, naan, staff, nihari, taste, water, strip, tikka, can, n, pizza, customer, karahi, guy, spicy, gyro, thing, experience, meal, while, eating, menu, wrap, meat, desi, table, price, day, right, ok, cashier, home, plate, review, worth, way, something, mutton, wait, visit, sauce, masala, curry, seekh, tea, side, star, love, family, night, think, town, salad, quality, stop, everyone, lot, everything, bread, nothing, manager, kebab, money, person, chai, average, business, dish, bit, top, anything, pakistan, kind, front, lunch, drink]
Pan Asian:[food, sushi, good, place, service, roll, rice, chicken, restaurant, one, luxor, back, go, time, server, bar, order, menu, sauce, well, soup, dinner, meal, price, spicy, experience, wait, shrimp, table, try, beef, bit, night, right, waiter, company, dish, staff, coupon, way, ok, tuna, hostess, taste, everything, waitress, hotel, while, sake, say, salad, take, quality, flavor, area, overall, credit, worth, crab, dining, drink, miso, something, tempura, dragon, check, side, star, nothing, show, thai, husband, water, use, bang, pad, thing, strip, top, staying, atmosphere, thought, appetizer, feel, fish, average, love, lot, salmon, sashimi]
Sports Bars:[food, good, place, service, bar, out, time, back, one, go, beer, order, can, server, vegas, chicken, menu, well, drink, night, crab, staff, love, restaurant, hour, try, cheese, table, waitress, bartender, burger, sauce, pizza, down, bad, right, way, location, say, make, experience, wait, game, while, manager, steak, check, think, nachos, side, take, watch, day, salad, area, pho, meal, atmosphere, being, everything, fun, fried, ok, dinner, bacon, half, something, favorite, lunch, thing, strip, lot, bit, breakfast, sandwich, selection, nothing, home, cold, price, spot, customer, left, visit, friend, enough, shrimp, buffalo, bww, special]
Paint & Sip:[painting, fun, time, food, wine, class, instructor, night, back, paint, place, one, staff, experience, design, step, can, love, everyone, wait, birthday, group, canvas, blast, friend, location, end, service, drink, artist, glass, party, room, order, menu, teacher, while, something, date, right, art, work, lot, patient, check, way, front, salsa, price, help, water, atmosphere, side, license, hour, panini, kind, daughter, offer, need, family, bit, picture, town, soda, tip, server, everything, change, yelp, girlfriend, seat, fact, anyone, half, liquor, website, w, henderson, home, name, teaching, facebook, customer, music, beer, bottle, mine, couple, session]
Tex-Mex:[food, good, service, place, out, time, back, one, chicken, go, nachos, restaurant, server, order, salsa, mexican, vegas, menu, try, well, can, love, table, bar, steak, margarita, staff, waitress, rice, location, taco, right, meal, cheese, nacho, experience, bobby, manager, sauce, bark, canal, wait, everything, dinner, hour, make, daddy, pork, coconut, night, way, say, vegan, check, lunch, drink, down, meat, kalua, while, mesa, burrito, flavor, side, day, shrimp, waiter, being, corn, guacamole, think, bowl, salad, strip, taste, fish, chipotle, something, take, favorite, spicy, customer, price, queso, thing, bit, nothing, bartender, venetian, burger]
Hotels:[room, food, hotel, good, place, out, one, vegas, buffet, time, service, go, casino, stay, back, strip, can, night, well, staff, check, price, restaurant, experience, day, pool, down, way, front, bad, dinner, desk, bar, table, right, bed, make, area, say, think, everything, while, breakfast, love, lot, steak, floor, being, try, money, thing, worth, shower, take, water, resort, benihana, nothing, massage, spa, tour, line, staying, chicken, wait, pay, cheap, bit, bathroom, station, meal, enough, walk, something, salad, parking, need, fun, crab, ok, show, left, card, feel, manager, overall, dessert, location, quality, suite]
Tea Rooms:[tea, boba, place, hookah, service, coffee, milk, food, time, out, curry, one, drink, go, back, love, try, caviar, order, staff, menu, make, well, bar, latte, favorite, taro, taste, afternoon, piano, lounge, spot, sunrise, experience, right, chicken, customer, flavor, petrossian, shop, way, down, azuza, town, bellagio, brew, bit, cream, day, burrito, everything, think, while, katsu, atmosphere, table, hut, zebra, vegan, take, something, hokkaido, slush, say, area, lot, mandarin, view, ice, wait, salmon, reservation, quality, station, sea, night, visit, friend, work, top, server, feel, check, rice, inside, worth, selection, cold, music, fruit]
Home Decor:[ikea, store, furniture, one, time, place, love, back, home, food, service, customer, way, need, area, shopping, line, everything, stuff, buy, floor, lot, look, help, parking, wait, staff, walk, check, kitchen, day, return, price, item, delivery, experience, right, quality, house, fun, order, opening, family, visit, while, cafeteria, end, phone, location, hour, walking, cafe, room, number, call, warehouse, someone, something, cart, thing, being, try, anything, coffee, shop, set, piece, restaurant, pick, purchase, feel, checkout, today, work, breakfast, use, whole, space, showroom, person, half, overall, thought, play, card, cashier, bed, bit, upstairs, pay]
Salvadoran:[food, cheese, place, service, pork, time, sauce, back, las, try, one, pupusa, order, chicken, restaurant, menu, love, cabbage, y, rice, lunch, bit, carne, ok, horchata, meal, salvadorian, flavor, queso, way, staff, drink, taste, wait, something, waitress, plate, con, while, asada, location, experience, beef, home, inside, town, style, corn, enough, cream, spicy, salad, mix, filling, customer, u, everything, craving, ensalada, loroco, price, bean, visit, tomato, check, dinner, soup, kitchen, curtido, breakfast, husband, day, kind, water, taco, burrito, salsa, close, mind, right, slaw, area, server, boyfriend, top, table, bread, dish, star, thing]
Street Art:[show, vegas, bellagio, water, music, time, night, one, fountain, watch, strip, go, out, day, view, love, song, watching, hotel, front, hour, while, stop, spot, worth, place, right, attraction, cool, something, street, experience, visit, favorite, room, thing, way, check, trip, tower, half, dancing, back, walking, eiffel, dance, play, saw, fun, look, walk, evening, everyone, sinatra, paris, wait, midnight, air, part, top, playing, light, year, world, side, stay, inside, work, feel, standing, matter, die, end, lake, run, display, outside, set, start, try, casino, sight, heart, pm, 8pm, anything, lot, area, viewing, schedule]
Persian/Iranian:[food, place, persian, service, chicken, restaurant, rice, back, salad, one, time, order, kabob, go, owner, try, beef, bread, shawarma, family, plate, love, hummus, menu, can, falafel, delivery, lunch, meat, quality, lamb, koobideh, everything, experience, staff, sandwich, meal, pizza, dish, pita, way, take, dinner, price, right, portion, table, home, taste, town, bit, side, flavor, customer, something, worth, ground, house, bill, atmosphere, waiter, inside, favorite, while, wait, baklava, day, tomato, half, eating, special, check, kind, rose, thing, visit, sauce, appetizer, ok, tender, area, husband, soup, middle, barg, business, mazza, star, spot, tea]
Resorts:[room, hotel, food, out, good, place, one, vegas, stay, service, time, back, pool, go, strip, can, check, night, casino, bar, staff, day, desk, well, mirage, front, venetian, resort, bed, way, mandalay, suite, down, breakfast, everything, area, bathroom, experience, love, floor, restaurant, while, take, pizza, salad, coffee, right, price, staying, make, bay, shower, say, view, water, being, sushi, think, something, money, fulton, bit, location, lot, pay, wait, thing, tub, noodle, walk, show, manager, left, need, table, door, order, try, work, fee, nothing, chicken, overall, open, feel, planet, hollywood, buffet, weekend, enough]
Russian:[food, place, hookah, service, restaurant, back, try, time, beef, chicken, one, stroganoff, atmosphere, menu, salad, dacha, order, night, cake, music, can, everything, love, kiev, server, dish, experience, borscht, something, while, taste, soup, vareniki, home, staff, meat, side, check, table, star, way, sauce, waiter, bit, owner, cabbage, hummus, right, lamb, pelmeni, flavor, cream, yelp, favorite, dinner, inside, shashlik, look, take, potato, feel, vodka, water, lemonade, shrimp, napoleon, tongue, drink, plate, lot, pork, waitress, cuisine, day, friend, meal, cafe, town, overall, fun, spot, appetizer, borsch, blinchiki, style, everyone, honey, delivery, thought, family]
Skin Care:[massage, spa, room, time, back, relaxing, experience, area, place, steam, scrub, strip, staff, minute, relaxation, service, hotel, use, platinum, therapist, shower, treatment, day, joy, price, water, body, while, locker, lounge, front, skin, manicure, package, pool, professional, overall, tissue, husband, tea, atmosphere, pressure, desk, way, pedicure, floor, work, need, gratuity, walk, girl, mom, visit, receptionist, tip, product, thought, friend, mask, start, masseuse, gem, hair, deal, right, couple, end, bit, top, side, aromatherapy, book, cold, pricing, robe, job, wait, everything, casino, champagne, esthetician, hour, painting, reason, anyone, care, lot, kind, mud, part]
Dive Bars:[place, food, good, bar, service, one, back, time, pho, vegas, go, rice, taco, pizza, fish, can, order, drink, bajamar, oxtail, love, chicken, try, beer, night, well, lobster, octopus, adobo, pulpo, bartender, rebar, menu, spam, shrimp, hawaiian, restaurant, fun, staff, sale, cool, fried, everything, right, seafood, nachos, down, katsu, spot, sauce, strip, aloha, horchata, table, musubi, atmosphere, dive, way, hour, think, music, favorite, while, vietnamese, teriyaki, take, rockhouse, town, omelette, day, waitress, check, enchilado, something, lot, flavor, server, beef, kitchen, soup, salsa, being, pork, marlin, inside, plate, kalbi, wait, area, experience]
Veterinarians:[catfish, food, place, fish, cheese, mac, back, go, time, line, order, market, chicken, sauce, town, soul, store, love, try, right, home, worth, n, service, meat, counter, everything, wait, taste, inside, side, way, lunch, area, meal, today, front, westside, husband, pound, hood, favorite, potato, everyone, kool, bomb, while, location, price, work, south, grocery, seasoning, customer, peach, flavor, money, macaroni, pork, thing, style, stuff, staff, cobbler, bread, head, look, stop, check, nothing, aid, lol, lot, cooking, door, experience, bit, mario, buy, pick, pay, cornbread, collard, day, kind, part, drive, something, star, cook]
Baby Gear & Furniture:[ikea, store, furniture, one, time, place, love, back, home, food, service, customer, way, need, area, shopping, line, everything, stuff, buy, floor, lot, look, help, parking, wait, staff, walk, check, kitchen, day, return, price, item, delivery, experience, right, quality, house, fun, order, opening, family, visit, while, cafeteria, end, phone, location, hour, walking, cafe, room, number, call, warehouse, someone, something, cart, thing, being, try, anything, coffee, shop, set, piece, restaurant, pick, purchase, feel, checkout, today, work, breakfast, use, whole, space, showroom, person, half, overall, thought, play, card, cashier, bed, bit, upstairs, pay]
Rehabilitation Center:[food, place, wrap, chicken, time, meal, menu, protein, service, go, salad, one, staff, order, try, back, turkey, can, side, potato, love, lunch, taste, something, right, restaurant, muscle, smoothie, delivery, sauce, pasta, today, phone, eating, rice, burger, balboa, maker, grill, husband, shake, hour, girl, broccoli, lot, cook, everything, while, week, bit, quality, worth, way, price, day, business, nothing, wait, breast, work, favorite, steak, bowl, customer, workout, star, flavor, cooking, cucumber, chili, fitness, area, owner, health, bacon, everyone, gym, anything, review, option, amount, someone, bbq, counter, management, cheese, thing, mmg, money, godfather]
Gluten-Free:[pizza, food, place, good, service, time, out, one, back, go, love, order, chicken, can, try, staff, menu, cheese, vegan, sauce, restaurant, bowl, well, crust, salad, acai, lunch, make, juice, pizzas, location, everything, way, right, rice, favorite, burger, meal, taste, wait, pasta, experience, arepa, bar, say, think, something, mac, fish, price, side, take, day, gluten, down, smoothie, pf, flavor, quality, pie, breakfast, bit, while, customer, pancakes, server, brio, garlic, table, drink, masala, shrimp, being, veggy, worth, crepe, beer, dinner, cake, lot, thing, burrito, beef, bread, hour, wei, pei, atmosphere, home, german]
Portuguese:[food, meat, bar, service, salad, place, time, one, restaurant, back, can, table, go, hour, brazil, well, dinner, brasil, staff, experience, steak, try, love, everything, brunch, chicken, menu, side, bacon, night, order, meal, dessert, steakhouse, server, reservation, beef, top, lamb, price, manager, wait, quality, worth, day, take, waiter, favorite, selection, way, salmon, rib, filet, town, person, fogo, garlic, lot, right, atmosphere, feel, party, thing, cheese, visit, birthday, bread, family, shrimp, check, sirloin, dining, while, rodizio, drink, ok, tip, lobster, eating, everyone, something, customer, room, bisque, left, buffet, turkey, sauce, overall, need]
Beer Garden:[beer, food, place, good, german, fun, one, time, out, go, back, band, atmosphere, music, can, pretzel, service, hofbrauhaus, experience, table, germany, munich, love, hall, order, sausage, night, restaurant, shot, well, waitress, pork, dinner, party, while, drink, try, way, paddle, group, sausages, think, potato, liter, menu, chicken, oktoberfest, bit, drinking, entertainment, lot, salad, right, down, meal, original, server, cheese, take, sauerkraut, staff, something, family, ok, visit, side, thing, everyone, playing, style, spanking, plate, bar, mustard, everything, wait, worth, singing, room, half, lunch, strip, giant, enough, garden, dining, stein, feel, sauce, taste]
Brewpubs:[beer, good, food, place, bar, pizza, service, time, hour, one, back, try, menu, chicken, area, cheese, dish, can, server, sauce, order, night, restaurant, brewing, upstairs, love, garlic, sandwich, favorite, steak, side, nothing, bartender, dining, staff, think, company, game, brew, burger, salad, house, drink, table, lot, ipa, while, right, atmosphere, town, thing, ghost, way, waitress, brewery, experience, room, something, crust, visit, review, chili, day, meat, home, selection, taste, dinner, ale, smoking, top, friend, smoke, lunch, kind, onion, anything, cigar, patio, bit, flavor, lounge, feel, spot, stout, husband, couple, special, check, glass]
Sushi Bars:[sushi, place, food, good, service, roll, out, time, one, can, back, go, order, restaurant, fish, menu, vegas, ayce, rice, try, love, well, staff, tuna, quality, everything, dinner, salmon, sauce, price, lunch, spicy, chef, experience, favorite, bar, ramen, sashimi, japanese, server, make, night, chicken, shrimp, salad, table, burrito, hour, special, way, wait, nigiri, bad, say, going, tempura, meal, fried, taste, right, worth, think, down, bowl, soup, spot, poke, lot, waitress, shabu, miso, take, bit, crab, while, thing, hibachi, something, being, top, town, flavor, overall, cream, side, strip, ice, check, sake, atmosphere]
Tickets:[show, line, ticket, tix, box, office, time, day, tonight, price, wait, discount, one, place, service, buy, location, tix4tonight, voucher, buffet, purchase, deal, dinner, half, pay, cirque, back, night, mall, fashion, way, right, person, mystere, use, strip, online, sell, staff, waiting, hour, booth, money, card, experience, seat, try, group, need, restaurant, love, town, buying, while, exchange, guy, section, offer, charge, pass, venue, m, soleil, front, stand, morning, coupon, website, information, dining, t4t, lot, cost, couple, tip, lady, top, thing, fee, visit, customer, hotel, family, call, saving, square, trip, mind, food, something]
Southern:[food, good, chicken, place, service, out, bbq, back, time, fried, brisket, order, one, go, sauce, cheese, try, vegas, restaurant, can, pork, mac, shrimp, well, catfish, love, meal, meat, menu, staff, side, everything, flavor, mochiko, wait, right, salad, table, make, location, say, server, lunch, way, waffles, rice, taste, experience, sandwich, lychee, bread, spicy, corn, dinner, think, home, bit, fish, take, while, plate, customer, day, cornbread, worth, something, n, potato, ok, tender, drink, thing, price, favorite, night, waitress, nothing, family, gump, tea, crab, soul, manager, husband, enough, visit, breakfast, bobby, special, lot]
Fish & Chips:[fish, good, food, place, out, service, one, back, time, sauce, go, vegas, order, restaurant, gordon, try, fried, well, shrimp, can, pub, bar, batter, ramsay, menu, love, beer, cod, tartar, meal, n, way, drink, chicken, mahi, mango, everything, taste, right, flavor, bit, lobster, coleslaw, wait, table, experience, staff, inside, price, burger, worth, down, curry, night, truffle, hook, think, quality, lunch, going, outside, darts, pie, being, while, pudding, piece, something, seating, combo, line, overall, side, enough, server, light, thing, toffee, take, steak, bartender, dinner, visit, lot, catfish, spot, check, strip, ramsey, chef]
Buffets:[food, buffet, good, place, sushi, one, out, can, service, go, time, vegas, price, back, dinner, lunch, breakfast, selection, crab, quality, well, try, salad, bar, chicken, restaurant, everything, bad, worth, order, station, seafood, dessert, love, line, think, staff, make, shrimp, meat, table, rice, pizza, say, ayce, way, variety, wait, night, lot, brunch, rib, thing, down, day, experience, fried, fish, right, nothing, taste, menu, cream, meal, strip, server, soup, pay, ok, eating, beef, bit, favorite, ice, person, filipino, being, while, shabu, chinese, take, sauce, roll, overall, something, asian, money, naan, casino, section]
Street Vendors:[dog, good, food, place, pastor, one, back, try, takoyaki, sandwich, elote, service, time, menu, go, order, corn, goodwich, taco, well, can, love, street, flavor, cheese, sauce, way, everything, staff, asada, udon, bacon, spot, chili, dirt, fried, okonomiyaki, worth, house, make, while, wait, right, location, chicken, thing, down, side, bit, carne, favorite, night, foie, restaurant, pork, meat, dish, lot, something, garlic, strip, patty, taste, say, bread, octopus, take, el, pineapple, escargot, red, lengua, mutt, bun, horchata, truck, bite, hotdog, customer, parking, bar, reuben, town, day, meal, top, spicy, visit, check, yakisoba]
Golf:[food, golf, time, place, good, service, out, vegas, one, brunch, fun, jazz, top, back, club, course, view, go, menu, wait, experience, hour, topgolf, well, country, order, restaurant, bay, night, while, table, buffet, staff, lunch, make, bar, shrimp, everything, outside, group, day, try, play, steak, driving, server, parking, right, salad, level, waterfall, drink, area, way, dinner, price, range, mgm, meal, floor, lot, hit, ball, waiter, think, atmosphere, special, check, love, bit, party, feel, dining, pool, reservation, side, music, worth, game, bread, cool, something, burger, crab, strip, person, thing, end, wine, spot]
Health Markets:[food, place, good, bowl, go, time, order, service, meal, smoothie, love, one, menu, back, try, toast, chicken, whip, acai, staff, downtown, protein, everything, vegan, taste, prep, fit, vitality, burger, something, customer, avocado, wait, panini, foodie, control, way, juice, owner, fairy, cheese, eating, portion, day, salad, say, delivery, work, açaí, take, right, restaurant, think, week, favorite, while, spot, quality, feel, bison, need, donut, tale, lot, thing, breakfast, lunch, health, cafe, being, chad, mermaid, bit, house, lake, price, business, turkey, flavor, worth, beet, wrap, home, location, bar, wish, side, check, pick, fitness]
Local Flavor:[food, place, good, poke, out, service, time, one, go, pizza, chicken, vegas, back, can, pho, love, try, order, bar, restaurant, show, sauce, rice, fried, well, hockey, night, cheese, burger, beer, staff, menu, pasta, spicy, make, adobo, right, way, day, everything, thai, ahi, think, wait, say, tix, while, area, salsa, price, worth, take, salad, hawaiian, park, family, home, downtown, bellagio, bit, limu, experience, spot, something, favorite, dish, chocolate, flavor, jenni, side, check, lunch, music, lot, taste, watch, thing, water, hour, pad, spam, mac, server, mantis, flippin, half, cool, meal, visit, being]
Macarons:[place, coffee, croissant, food, one, time, back, almond, cafe, chocolate, quiche, love, latte, cheese, try, sandwich, tea, service, go, breakfast, pastry, menu, salad, order, while, staff, everything, owner, lunch, favorite, atmosphere, bakery, way, bread, quality, wine, butter, day, bit, wait, ham, town, home, pie, visit, work, side, something, spot, taste, morning, area, selection, cake, decor, light, right, jam, counter, nord, brunch, inside, restaurant, flavor, rainbow, today, table, onion, top, experience, look, chef, bite, drink, salmon, fruit, cup, take, feel, apple, thing, ambiance, house, customer, half, business, walnut, friend, everyone, soup]
Karaoke:[food, place, good, bar, service, sushi, time, out, one, back, go, can, sisig, ayce, night, rice, order, love, chicken, restaurant, filipino, try, staff, well, menu, adobo, karaoke, spam, jjanga, drink, hawaiian, fun, moda, fried, katsu, hibachi, favorite, salad, aloha, make, musubi, kalbi, dance, way, kitchen, sauce, dinner, burger, side, table, everything, bartender, atmosphere, cheesecake, town, experience, while, server, right, cafe, something, think, music, take, spot, plate, everyone, lot, teriyaki, strip, area, day, party, bit, wait, meal, pork, lunch, hour, dj, thing, breakfast, roll, customer, loco, omelette, moco, friend, check, waitress]
Shanghainese:[food, noodle, beef, place, restaurant, soup, spicy, service, dish, pork, try, go, taste, one, dan, sauce, back, flavor, time, menu, yunnan, rice, pot, fish, broth, duck, lunch, cuisine, pancake, special, order, chicken, tea, hand, everything, lamb, star, review, style, love, table, king, staff, yelp, favorite, meat, egg, ok, inside, town, location, price, chongqing, chef, appetizer, need, check, dinner, china, nothing, texture, street, meal, roll, right, tofu, bit, hotpot, something, thing, name, way, lot, onion, bowl, visit, oily, server, tender, oil, garlic, groupon, day, water, point, half, size, owner, home, family]
Shaved Ice:[ramen, halo, ice, place, cream, good, snow, miso, tea, try, service, raindrop, one, magnolia, time, back, milk, broth, flavor, boba, ono, can, love, cotton, truck, cafe, ube, dessert, food, go, candy, seafood, latti, honey, taste, coffee, cake, order, soup, pork, menu, fluff, mango, favorite, strawberry, city, gyoza, staff, study, cone, filipino, cha, drink, chashu, queso, wait, coconut, syrup, way, shu, right, lychee, bit, something, inside, toast, kome, thing, bowl, sensation, customer, monster, buko, shop, matcha, shiro, spot, waitress, pandan, scoop, misoya, earl, halohalo, cup, enough, blood, style, top, salty, side]
Gay Bars:[pizza, bar, glutenfree, place, home, crust, food, one, time, inch, style, order, back, roller, day, staff, purchase, drink, go, check, fun, bartender, sauce, pick, karaoke, love, service, way, call, delivery, show, try, buy, sub, town, night, gluten, pool, pm, wii, music, while, everyone, atmosphere, cheese, drag, favorite, right, half, stop, take, hour, experience, something, video, dance, smash, dj, crowd, value, din, customer, today, menu, lot, brunch, screen, outside, projector, quality, specialty, kitchen, tonight, cool, speciality, meatball, pepperoni, guy, upgrade, hump, coupon, online, side, price, medium, building, entertainment, clientele, burner, taco]
Irish:[food, place, bar, service, one, time, pub, back, beer, go, vegas, burger, night, cheese, order, fish, can, well, menu, hour, drink, pie, music, try, love, chicken, bartender, table, restaurant, server, dinner, staff, atmosphere, going, salad, waitress, day, beef, while, side, right, fun, experience, way, being, sauce, bit, half, mgm, bacon, fine, think, meal, area, everything, top, wait, band, lunch, york, something, selection, enough, strip, friend, guinness, check, take, cool, husband, game, thing, lot, sandwich, fried, breakfast, town, nothing, price, bread, ok, lobster, watch, peanut, brisket, feel, left, party, spot, flavor]
Brasseries:[food, service, place, one, sugar, time, factory, back, server, drink, menu, go, table, chicken, restaurant, order, can, dessert, burger, chocolate, cheese, well, strip, night, candy, try, experience, location, ice, dinner, goblet, wait, town, fun, say, waiter, hour, love, salad, meal, sandwich, cream, manager, right, friend, way, bar, birthday, think, while, square, breakfast, everything, worth, pizza, water, bellagio, something, steak, waitress, staff, groupon, take, outside, thing, party, paris, bit, nothing, lunch, inside, check, day, crepe, price, bill, half, ok, visit, store, side, hostess, husband, top, taste, overall, sauce, atmosphere, anything, customer]
Cheesesteaks:[food, place, pizza, order, cheese, philly, time, delivery, service, steak, dog, chicken, one, back, go, sandwich, try, gyro, can, love, customer, wait, burger, johnny, salad, way, meat, sauce, cheesesteak, chili, bacon, court, worth, everything, staff, lunch, menu, side, meal, garlic, something, take, taste, pick, night, breakfast, hour, right, while, special, nothing, price, ranch, hotdog, guy, combo, think, restaurant, phone, drink, bar, driver, call, thing, ok, bit, thought, business, home, yummy, grill, flavor, cut, owner, left, review, eating, location, bread, inside, experience, girl, day, seasoning, manager, half, soda, money, beef, sausage]
Meat Shops:[food, service, steak, place, good, time, one, back, restaurant, rig, dinner, server, go, menu, well, table, experience, brunch, try, meat, staff, love, vegas, manager, everything, order, salad, portobello, wait, meal, waiter, butcher, night, rib, cheese, wine, sauce, favorite, cut, bar, dining, side, birthday, strip, right, quality, medium, way, dessert, mushroom, take, atmosphere, steakhouse, reservation, patio, top, while, shop, hour, everyone, price, bone, special, fried, cauliflower, think, flavor, outside, visit, ribeye, hostess, house, husband, feel, eye, bit, dish, bacon, family, day, area, beef, overall, check, upstairs, party, something, garlic, worth, point]
Casinos:[food, good, place, room, out, one, hotel, vegas, service, time, buffet, go, back, casino, can, night, bar, stay, strip, well, staff, price, day, restaurant, breakfast, check, pool, bad, dinner, steak, down, experience, way, table, love, right, say, chicken, make, think, everything, try, while, front, area, coffee, desk, salad, order, show, thing, meal, lot, fun, being, drink, bed, money, take, bit, worth, burger, wait, line, nothing, menu, something, cheap, beer, pay, floor, selection, water, enough, quality, cheese, ok, shower, side, need, staying, dessert, benihana, server, bathroom, walk, left, feel, card, rib]
Ethnic Food:[food, place, good, hookah, service, poke, chicken, go, time, sushi, one, back, order, can, rice, restaurant, pho, vegas, try, love, thai, well, sauce, lunch, ahi, menu, spicy, beef, curry, everything, greek, staff, shawarma, fish, meat, katsu, soup, filipino, shrimp, hawaiian, roll, taco, asada, way, burrito, salad, seafood, right, price, carne, taste, pork, favorite, take, fried, flavor, home, gyro, say, naan, side, lamb, bit, think, hummus, dinner, dish, lot, pad, bowl, salsa, quality, table, night, meal, tonkatsu, customer, while, town, spot, buffet, store, something, experience, day, garlic, wait, salmon, vietnamese, tuna]
Acai Bowls:[bowl, place, acai, time, one, service, juice, poke, love, back, order, smoothie, go, try, staff, food, açaí, customer, fruit, menu, bowlology, wait, pitaya, location, taste, granola, downtown, drink, way, summerlin, day, something, vitality, favorite, take, work, pb, worth, size, today, right, tuna, butter, banana, peanut, owner, protein, everything, lover, home, offer, bit, store, while, price, sauce, quality, rice, flavor, honey, lot, working, half, top, stop, bar, thing, business, coconut, ocean, lunch, spot, panini, yummy, use, town, milk, feel, wish, side, girl, amount, salmon, friend, card, chocolate, counter, review, nothing, visit]
Playgrounds:[place, food, party, play, time, staff, area, fun, birthday, back, one, lol, playground, love, day, year, host, pizza, everything, ball, son, kid, service, check, price, child, room, adult, daughter, everyone, lot, cake, pay, way, family, pit, thing, bit, club, blast, while, cafe, worth, customer, experience, toddler, admission, menu, right, chicken, charge, need, job, set, wait, plenty, playing, cheese, outside, plus, manager, inside, today, side, pricing, slide, waiver, work, care, front, chef, table, order, kangamoo, facility, line, walk, husband, sign, hour, look, money, space, half, seating, kind, home, cleaning, offer, something]
Real Estate Services:[food, place, taco, mexican, asada, meat, carne, one, burrito, time, order, pastor, service, night, drive, rice, back, chicken, customer, cheese, restaurant, cashier, salsa, way, menu, strip, carnitas, lengua, lot, home, day, bit, ok, something, love, stop, check, well, wait, staff, everything, while, eating, outside, drink, cook, area, end, plate, flavor, line, need, taste, street, beef, sauce, side, friend, inside, quesadilla, favorite, lady, horchata, anything, chorizo, hit, bite, price, gordo, half, couple, nothing, try, cabeza, window, cash, choice, bar, charge, lunch, greasy, joint, look, location, spot, menudo, reason, thing, girl, downtown]
Wine & Spirits:[food, good, place, service, out, time, one, back, go, restaurant, vegas, menu, bar, well, hookah, chicken, can, order, try, staff, love, burger, pizza, salad, beer, server, dinner, cheese, table, steak, night, experience, sauce, thai, hour, meal, make, lunch, everything, sushi, drink, right, wait, wine, naan, way, atmosphere, say, side, while, bit, down, favorite, ramen, think, bread, price, meat, waiter, flavor, waitress, take, sandwich, fun, being, something, check, taste, rice, worth, day, dish, thing, quality, bartender, area, top, fried, lobster, ok, lot, tacos, strip, spot, special, poutine, selection, attentive, spicy, overall]
Breweries:[food, good, place, beer, service, bar, time, one, back, go, hour, menu, order, pizza, restaurant, chicken, love, can, fish, server, well, try, cheese, staff, night, taco, table, salad, pub, drink, steak, burger, area, waitress, el, way, dinner, right, sauce, say, garlic, experience, lunch, wait, favorite, location, bartender, beerhaus, selection, side, shrimp, while, meal, atmosphere, village, sandwich, think, something, everything, day, price, house, spot, bit, take, special, game, check, gordon, lot, biersch, manager, thing, octopus, soup, sierra, nothing, dish, visit, taste, home, dining, costra, ok, half, waiter, quality, top, left, room]
